tempo,chroma_stft,rmse,spectral_centroid,spectral_bandwidth,rolloff,zero_crossing_rate,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,mfcc_delta1,mfcc_delta2,mfcc_delta3,mfcc_delta4,mfcc_delta5,mfcc_delta6,mfcc_delta7,mfcc_delta8,mfcc_delta9,mfcc_delta10,mfcc_delta11,mfcc_delta12,mfcc_delta13,mfcc_delta14,mfcc_delta15,mfcc_delta16,mfcc_delta17,mfcc_delta18,mfcc_delta19,mfcc_delta20,tonnetz1,tonnetz2,tonnetz3,tonnetz4,tonnetz5,tonnetz6,tonnetz7,tonnetz8,tonnetz9,tonnetz10,spectral_contrast1,spectral_contrast2,spectral_contrast3,spectral_contrast4,spectral_contrast5,spectral_contrast6,spectral_contrast7,spectral_contrast8,spectral_contrast9,spectral_contrast10,spectral_contrast11,spectral_contrast12,spectral_contrast13,filename_label,manele
112.3471467,0.37527424,0.47066778,0.41964936,0.48781732,0.38037696,0.33975944,0.39816028,0.3799615,0.43103474,0.3246151,0.33537433,0.37384987,0.18007623,2638.256395,2757.357449,5905.281082,0.106842912,-70.816925,74.95482,7.1446223,20.664503,6.0814266,6.8996525,-0.9231522,4.9623713,-2.558476,6.5139937,0.7984618,7.741333,-0.57757616,0.8601454,0.11541353,2.621808,-2.900004,4.666848,-2.161979,-0.17012268,0.0,5.55e-10,-1.11e-09,4.03e-09,-1.11e-09,0.0,-1.81e-09,-9.72e-10,-6.25e-10,-8.33e-10,-5.55e-10,4.17e-10,3.47e-10,-2.01e-09,-4.17e-10,-2.08e-10,3.82e-10,-1.15e-09,5.55e-10,-3.47e-10,-0.037473258,-0.052136179,-0.011359698,0.000953092,0.017742017,0.014841557,17.64713282,14.79823937,18.26519929,17.78459518,18.08608562,18.03515279,47.42812968,1.0
99.38401442,0.39274025,0.28873196,0.37185866,0.28944892,0.41973466,0.41259313,0.26049748,0.3153694,0.32065746,0.47135836,0.38738406,0.3085217,0.26418647,2702.02256,2740.720911,5780.34328,0.121486743,-41.295742,75.74374,16.198612,25.364754,6.911274,7.091244,-1.7466959,-1.744868,-2.824316,-0.6304061,-6.029959,-2.0066738,-3.514823,-0.4053396,-5.453732,3.422468,-4.703808,-2.1310914,-2.7944226,2.5966334,-8.58e-05,-0.00012239,-0.00012554,-0.000130418,-0.000136485,-0.000143074,-0.000149445,-0.000154851,-0.000158614,-0.000160186,-0.000159208,-0.000155523,-0.000149215,-0.000140571,-0.000130071,-0.00011832,-0.000106011,-9.38e-05,-8.24e-05,-7.23e-05,0.076764941,0.108873375,-0.038939707,0.003411186,0.001646799,0.000113816,18.99926312,15.46411941,19.39801966,18.92362381,19.99948149,19.27568705,48.08198729,1.0
89.10290948,0.43121147,0.33985183,0.45428446,0.37217346,0.42724425,0.3956522,0.30018267,0.37031907,0.3640894,0.46335164,0.40819895,0.4027513,0.21851344,2423.837786,2501.974045,5288.584737,0.093940836,-82.232155,70.01634,-3.545729,16.36763,0.16601662,4.826685,-0.6859917,4.8324866,0.9891208,6.814219,1.3477163,1.1279467,0.57255274,1.6228416,-2.6714928,1.3221244,-2.805268,-1.4065741,-0.8691382,1.848091,-5.39e-09,2.02e-09,1.6e-09,8.42e-10,3.37e-10,-3.37e-10,-6.74e-10,1.68e-10,1.1e-09,-1.35e-09,9.27e-10,5.9e-10,-9.27e-10,7.58e-10,3.37e-10,4.21e-10,0.0,-2.95e-10,1.77e-09,6.74e-10,0.044932276,0.057186908,-0.022777362,-0.006889436,-0.000647449,0.006905566,20.26589207,15.14446112,17.61069816,16.74882813,17.78556751,17.74601798,45.98031735,1.0
151.9990809,0.37157252,0.40058663,0.36322665,0.41920575,0.32360172,0.41263598,0.38272122,0.33882296,0.39198482,0.39013162,0.46228245,0.3921654,0.10949787,2325.492468,2423.004472,5032.343923,0.113108357,-131.52487,82.27004,-4.901181,15.498342,-0.7147546,7.955039,-1.0810839,4.3362494,-5.08236,5.540952,0.20131826,0.23374236,0.37486157,-0.53838545,-3.8271766,0.10641113,-7.139803,-2.618349,-2.7098236,-0.88926786,1.9e-08,1.78e-09,1.04e-09,5.94e-10,1.48e-10,-3.71e-09,1.48e-10,6.68e-10,-4.3e-09,5.94e-10,0.0,-2.23e-09,9.65e-10,8.91e-10,1.48e-10,7.42e-11,-8.91e-10,0.0,-8.91e-10,7.42e-11,-0.062129734,-0.010908602,-0.018452458,-0.01724315,0.002670254,0.002881074,16.72404864,14.61466186,17.37514289,17.05852862,17.4030538,17.64120139,46.6850993,1.0
112.3471467,0.42532837,0.40841776,0.5271539,0.3711457,0.38860628,0.44738972,0.3689504,0.4582686,0.39114916,0.44389546,0.39337867,0.40869725,0.27440512,2637.225119,2637.923398,5633.356507,0.110879838,-29.17327,70.97885,-4.899925,24.702692,7.836711,9.753623,3.909086,7.248981,-1.1823238,10.181237,2.184327,1.9948304,0.9116734,1.1718191,-3.5753703,4.1713634,0.10511084,2.5161333,1.4051876,4.1387186,0.0,-6.98e-10,-6.11e-10,-1.22e-09,1.22e-09,5.24e-10,-5.24e-10,6.98e-10,-8.73e-10,-8.73e-11,3.05e-10,1e-09,5.67e-10,-6.98e-10,1.75e-10,5.24e-10,-8.73e-10,1.75e-10,-8.73e-11,6.11e-10,0.050776,0.078140914,-0.011507023,-0.036907933,-0.00413051,-0.012026989,18.14310654,14.01797288,18.2908259,18.02373277,18.74915505,19.15392707,48.60343537,1.0
151.9990809,0.44419417,0.37224948,0.30189052,0.35577738,0.3180709,0.45513365,0.31586364,0.42366192,0.42798108,0.3613103,0.42776468,0.3405007,0.17467399,3022.060635,2804.026493,6278.050107,0.146772227,-55.89168,60.296864,1.1879128,24.568617,-0.18164577,0.15079044,1.4521306,-2.2948215,-5.1507955,9.097581,-1.9581487,-5.952903,2.220094,-1.6486876,-7.1792307,2.802417,-0.3512808,0.56620455,2.4050465,1.1277121,-0.004641466,4.54e-06,-0.00131295,-0.001941743,-0.000844447,0.000151831,-0.000330213,-0.000768375,-0.000145467,0.000433162,-0.000524506,-0.000637493,-0.001032218,-0.000625345,0.000599132,-0.00047977,-0.001068547,-0.001318981,0.000473154,-6.24e-06,-0.061931827,0.05259322,-0.011745033,0.015514948,4.33e-05,-0.000120472,18.58905993,15.40250342,18.90283219,18.30257511,19.37167195,19.46582109,45.92194127,1.0
112.3471467,0.2692198,0.27887928,0.42892155,0.38323227,0.38240835,0.4622606,0.39880726,0.5228725,0.42717314,0.48974076,0.33489436,0.22948967,0.21294199,2807.501514,2717.767866,5911.50729,0.136139141,-50.27717,70.019424,3.3268862,21.956215,0.41341397,9.932169,3.3897898,1.7431355,-5.153193,6.928529,-0.35188094,-6.515793,0.027993646,-3.6268132,-6.831405,1.377617,-4.721174,-0.7240227,-2.3400738,-3.719558,-0.004224687,-0.000182184,-0.000149856,-0.000391553,-8.15e-06,0.000194306,0.000177368,-0.000226217,2.35e-05,8.9e-05,-6.8e-05,7.63e-05,-6.26e-05,-8.33e-05,0.000215759,-0.000144563,0.000160927,-0.000103219,6.84e-05,-2.36e-05,0.001081972,0.054914823,0.003022903,0.002036173,-0.007392758,-0.007382469,19.68037011,14.81671906,17.37802647,17.66689856,19.22622694,19.54997744,46.55544846,1.0
151.9990809,0.41665682,0.29763445,0.35545525,0.31340623,0.44328338,0.40731737,0.37446335,0.49697807,0.4590278,0.5679186,0.35194045,0.3841961,0.19821607,2304.248899,2496.463402,4995.714402,0.091680867,-73.5648,85.87016,-4.313145,24.198225,3.5577416,9.728507,0.82806915,6.647028,-2.6015844,9.605098,3.860863,0.3462339,6.010227,9.03629,0.50528055,8.46493,4.792973,3.8045585,2.4684796,2.4447498,0.006712586,0.006818276,0.001800519,0.000444952,0.001328846,0.001169052,0.001493957,0.001642619,0.001026726,0.000628052,0.000503524,0.000481849,0.000422935,0.000119612,-0.000246668,-0.000461388,-0.000155275,0.000157854,-0.000337815,-0.000545356,0.075859792,0.05988822,-0.048164912,0.050302717,0.000376725,0.024237027,19.12250892,14.63838421,18.87176991,18.08749797,19.73242672,19.63139139,49.1177618,1.0
123.046875,0.26826382,0.25441903,0.25992653,0.30421433,0.27708054,0.46485665,0.2909812,0.4025568,0.47149375,0.31983978,0.37757167,0.24940039,0.17519298,3058.143565,3150.073008,7354.676638,0.120148591,-88.03038,71.37894,20.568405,10.505051,15.618521,5.55871,9.850754,-2.7156034,-0.06603672,8.222131,-7.176889,2.0348558,-7.215245,1.6393416,-5.0328465,1.6547352,3.0655868,8.145152,3.6668365,3.0329566,-0.011050558,0.002128417,0.001314911,-9.35e-05,-0.000906878,-0.001743172,-0.000571925,-0.000429021,-0.000448881,-0.001121197,0.001074107,0.000414609,-0.000234553,0.000493635,0.000497776,-0.000127849,0.000588511,-0.000891736,0.001793879,0.000360346,-0.121647218,0.054312095,-0.037490772,-0.003236022,0.004930691,-0.021810075,20.34002788,16.4224148,20.6381404,19.47743142,19.50323359,18.56513331,48.75734167,1.0
123.046875,0.3499268,0.3232259,0.42191273,0.34766978,0.50783485,0.32152948,0.39260468,0.36627734,0.2514706,0.2989159,0.28428718,0.3743803,0.15785372,2734.220987,2790.034252,6044.516339,0.109431475,-110.076836,76.17159,8.507909,11.91257,4.571939,3.487946,-6.208843,-0.134122,-4.442983,0.6132838,0.75639194,2.935037,-8.525099,-2.275789,-7.49752,-4.006474,-7.696112,6.497087,-0.79154515,6.358325,-0.055416163,-0.012345225,0.000115011,-0.003785529,0.000517898,0.000901116,-0.001306782,-0.002735252,-0.000135801,-0.001343036,-0.000695674,0.000678031,0.001890832,-0.001158364,-0.000458129,-0.000183847,-0.000923389,-0.00170075,-0.000501414,-0.000606029,0.104819747,-0.00555474,0.025172568,0.031262246,0.008127044,-0.000381613,20.76840089,16.20312681,19.65818401,18.78491311,19.14527536,17.85240684,48.0458446,1.0
